czas,temperatura,wilgotność,wiatr,opady,ciśnienie,Tsun_min
2022-10-10 00:00,16.0,89.4,6.83,0.39,1019.79,0.0
2022-10-10 01:00,15.96,89.1,7.62,0.29,1019.63,0.0
2022-10-10 02:00,15.82,88.85,7.19,0.11,1019.34,0.0
2022-10-10 03:00,15.72,90.15,8.14,0.38,1019.1,0.0
2022-10-10 04:00,15.43,90.6,7.86,0.57,1019.16,0.0
2022-10-10 05:00,15.68,91.6,8.04,0.47,1019.16,0.0
2022-10-10 06:00,15.92,91.4,7.88,0.34,1019.32,2.58
2022-10-10 07:00,16.76,89.35,7.15,0.1,1019.75,9.75
2022-10-10 08:00,17.85,87.15,6.94,0.08,1019.95,15.17
2022-10-10 09:00,19.29,82.2,6.51,0.06,1019.88,19.25
2022-10-10 10:00,20.38,75.95,8.27,0.03,1019.88,23.75
2022-10-10 11:00,21.06,73.05,8.22,0.25,1019.78,24.0
2022-10-10 12:00,20.76,73.35,8.7,0.39,1019.44,24.33
2022-10-10 13:00,20.49,73.75,9.51,1.28,1019.2,23.5
2022-10-10 14:00,20.38,74.3,8.57,0.49,1019.19,22.5
2022-10-10 15:00,20.16,75.4,8.22,0.31,1019.02,20.83
2022-10-10 16:00,19.54,78.2,7.67,0.32,1018.98,21.17
2022-10-10 17:00,18.57,82.4,4.98,0.02,1019.35,8.0
2022-10-10 18:00,17.86,86.95,5.68,0.05,1019.7,0.42
2022-10-10 19:00,16.63,89.3,4.65,0.04,1019.9,0.0
2022-10-10 20:00,16.03,90.7,5.5,0.08,1020.06,0.0
2022-10-10 21:00,15.76,89.75,4.92,0.04,1020.24,0.0
2022-10-10 22:00,15.31,91.55,5.59,0.02,1020.24,0.0
2022-10-10 23:00,14.98,91.7,5.3,0.06,1020.16,0.0
2022-10-11 00:00,14.73,92.3,6.14,0.06,1020.18,0.0
2022-10-11 01:00,14.61,91.9,5.21,0.02,1020.04,0.0
2022-10-11 02:00,14.61,91.6,5.3,0.01,1019.8,0.0
2022-10-11 03:00,14.4,92.15,6.26,0.0,1019.63,0.0
2022-10-11 04:00,14.06,92.05,5.58,0.0,1019.73,0.0
2022-10-11 05:00,14.6,91.75,6.32,0.02,1019.77,0.0
2022-10-11 06:00,14.74,92.15,6.26,0.01,1020.02,5.67
2022-10-11 07:00,16.13,89.25,5.68,0.02,1020.43,22.5
2022-10-11 08:00,17.94,82.95,7.5,0.01,1020.75,35.5
2022-10-11 09:00,19.44,76.45,7.8,0.0,1020.82,44.17
2022-10-11 10:00,20.84,71.35,8.37,0.02,1020.8,48.67
2022-10-11 11:00,21.63,68.4,9.86,0.03,1020.62,49.08
2022-10-11 12:00,22.1,67.45,10.57,0.06,1020.32,48.83
2022-10-11 13:00,21.95,65.8,11.32,0.02,1019.91,47.42
2022-10-11 14:00,22.15,66.25,11.27,0.0,1019.68,44.08
2022-10-11 15:00,21.57,67.05,10.48,0.02,1019.71,40.08
2022-10-11 16:00,20.68,70.6,9.38,0.0,1019.9,30.58
2022-10-11 17:00,19.22,78.4,6.83,0.0,1020.1,10.33
2022-10-11 18:00,18.29,82.95,6.74,0.0,1020.58,0.0
2022-10-11 19:00,16.88,85.1,6.5,0.0,1020.84,0.0
2022-10-11 20:00,16.45,87.3,6.92,0.0,1021.1,0.0
2022-10-11 21:00,16.18,87.75,6.9,0.0,1021.39,0.0
2022-10-11 22:00,15.84,87.8,7.37,0.0,1021.28,0.0
2022-10-11 23:00,15.36,88.45,5.99,0.01,1021.24,0.0
2022-10-12 00:00,15.12,89.8,6.56,0.0,1021.26,0.0
2022-10-12 01:00,14.94,89.85,6.34,0.02,1021.17,0.0
2022-10-12 02:00,14.71,89.35,6.22,0.02,1021.02,0.0
2022-10-12 03:00,14.76,88.85,6.82,0.01,1020.84,0.0
2022-10-12 04:00,14.47,88.1,6.16,0.0,1020.9,0.0
