czas,temperatura,wilgotność,wiatr,opady,ciśnienie,Tsun_min
2022-10-10 00:00,10.24,80.75,18.2,0.0,1014.24,0.0
2022-10-10 01:00,10.12,81.4,18.32,0.0,1013.72,0.0
2022-10-10 02:00,9.92,83.15,17.98,0.0,1013.18,0.0
2022-10-10 03:00,9.88,84.15,18.47,0.0,1012.71,0.0
2022-10-10 04:00,9.7,85.9,18.14,0.0,1012.54,0.0
2022-10-10 05:00,9.6,86.75,17.23,0.0,1012.18,0.0
2022-10-10 06:00,9.8,87.75,17.39,0.0,1012.2,0.0
2022-10-10 07:00,10.72,86.2,17.76,0.0,1012.52,13.0
2022-10-10 08:00,12.2,83.5,19.55,0.03,1012.9,28.0
2022-10-10 09:00,13.22,82.1,19.26,0.04,1013.13,35.0
2022-10-10 10:00,14.21,79.85,20.82,0.02,1013.38,42.0
2022-10-10 11:00,14.6,81.45,21.74,0.28,1013.92,36.5
2022-10-10 12:00,14.45,82.55,24.46,0.54,1014.44,30.5
2022-10-10 13:00,14.04,82.3,26.02,0.52,1015.18,22.0
2022-10-10 14:00,13.8,79.2,26.06,0.38,1016.12,16.5
2022-10-10 15:00,13.68,75.7,25.59,0.15,1017.25,11.5
2022-10-10 16:00,13.36,74.1,23.18,0.03,1018.24,11.0
2022-10-10 17:00,12.27,75.9,21.28,0.0,1019.25,6.5
2022-10-10 18:00,11.42,77.5,20.12,0.0,1020.25,2.5
2022-10-10 19:00,10.86,79.35,18.74,0.0,1021.12,0.0
2022-10-10 20:00,10.52,78.55,19.13,0.0,1021.83,0.0
2022-10-10 21:00,10.04,78.75,17.18,0.0,1022.56,0.0
2022-10-10 22:00,9.9,77.75,15.03,0.0,1023.22,0.0
2022-10-10 23:00,9.62,78.5,14.66,0.0,1023.56,0.0
2022-10-11 00:00,9.43,78.45,13.08,0.0,1023.83,0.0
2022-10-11 01:00,9.07,79.15,13.4,0.0,1024.16,0.0
2022-10-11 02:00,8.85,78.95,12.36,0.0,1024.36,0.0
2022-10-11 03:00,8.58,80.6,10.98,0.0,1024.46,0.0
2022-10-11 04:00,8.58,81.05,10.74,0.0,1024.7,0.0
2022-10-11 05:00,8.78,80.3,10.12,0.0,1025.11,0.0
2022-10-11 06:00,8.68,81.65,9.65,0.0,1025.4,0.0
2022-10-11 07:00,9.31,82.1,9.93,0.0,1025.96,8.5
2022-10-11 08:00,11.72,76.95,11.36,0.0,1026.43,19.5
2022-10-11 09:00,13.1,73.1,11.62,0.0,1026.71,28.5
2022-10-11 10:00,14.12,67.2,11.88,0.0,1026.9,26.5
2022-10-11 11:00,14.75,63.25,10.88,0.0,1026.91,28.5
2022-10-11 12:00,14.96,62.0,10.55,0.0,1026.86,27.0
2022-10-11 13:00,15.0,61.75,9.45,0.0,1026.57,27.5
2022-10-11 14:00,14.76,62.55,10.4,0.0,1026.38,22.5
2022-10-11 15:00,14.42,64.65,9.09,0.0,1026.14,18.5
