czas,temperatura,wilgotność,wiatr,opady,ciśnienie,Tsun_min
2022-10-10 00:00,8.27,78.4,20.48,0.13,1003.16,0.0
2022-10-10 01:00,8.26,79.4,21.2,0.14,1002.65,0.0
2022-10-10 02:00,8.36,79.45,22.24,0.23,1002.15,0.0
2022-10-10 03:00,8.3,80.3,21.57,0.32,1001.62,0.0
2022-10-10 04:00,8.04,81.95,21.76,0.53,1001.13,0.0
2022-10-10 05:00,7.96,81.05,20.74,0.54,1000.92,0.0
2022-10-10 06:00,7.97,80.25,20.26,0.44,1000.47,0.0
2022-10-10 07:00,8.28,79.9,19.32,0.3,1000.3,0.0
2022-10-10 08:00,8.66,78.15,20.32,0.26,1000.35,0.0
2022-10-10 09:00,8.98,75.6,20.18,0.22,1000.38,0.0
2022-10-10 10:00,9.57,74.8,20.65,0.17,1000.44,0.0
2022-10-10 11:00,9.88,73.35,21.71,0.08,1000.26,0.0
2022-10-10 12:00,9.89,73.8,20.37,0.12,1000.22,0.0
2022-10-10 13:00,9.6,75.65,19.66,0.08,999.93,0.0
2022-10-10 14:00,9.18,77.95,17.87,0.18,1000.0,0.0
2022-10-10 15:00,8.51,79.25,15.65,0.42,999.96,0.0
2022-10-10 16:00,8.14,79.85,14.21,0.18,1000.02,0.0
2022-10-10 17:00,7.65,80.8,12.64,0.11,1000.23,0.0
2022-10-10 18:00,7.44,80.9,13.27,0.1,1000.37,0.0
2022-10-10 19:00,7.05,83.15,15.44,0.24,1000.6,0.0
2022-10-10 20:00,6.35,82.2,15.16,0.18,1000.32,0.0
2022-10-10 21:00,6.32,81.65,14.8,0.13,1000.59,0.0
2022-10-10 22:00,6.21,81.55,15.78,0.15,1000.81,0.0
2022-10-10 23:00,6.02,82.0,16.28,0.22,1001.06,0.0
2022-10-11 00:00,6.0,81.1,16.35,0.1,1001.24,0.0
2022-10-11 01:00,5.84,81.2,15.37,0.1,1001.29,0.0
2022-10-11 02:00,5.76,80.6,18.77,0.15,1001.45,0.0
2022-10-11 03:00,5.71,80.3,17.96,0.14,1001.7,0.0
2022-10-11 04:00,5.64,79.6,17.88,0.16,1002.16,0.0
2022-10-11 05:00,5.52,79.75,19.43,0.11,1002.58,0.0
2022-10-11 06:00,5.56,80.45,17.75,0.16,1002.78,0.0
2022-10-11 07:00,5.85,79.45,17.9,0.21,1003.18,0.0
2022-10-11 08:00,6.52,76.8,19.98,0.08,1003.62,0.0
2022-10-11 09:00,6.9,75.9,22.35,0.2,1003.99,0.0
2022-10-11 10:00,7.53,73.5,21.12,0.2,1004.57,0.0
2022-10-11 11:00,8.0,71.9,22.36,0.22,1005.01,0.0
2022-10-11 12:00,7.98,71.9,23.26,0.2,1005.48,0.0
2022-10-11 13:00,7.88,72.95,22.1,0.26,1006.08,0.0
2022-10-11 14:00,7.74,72.9,21.14,0.21,1006.75,0.0
2022-10-11 15:00,7.4,73.55,21.44,0.17,1007.28,0.0
2022-10-11 16:00,7.0,75.7,19.39,0.13,1007.52,0.0
2022-10-11 17:00,6.56,77.25,19.2,0.26,1008.07,0.0
2022-10-11 18:00,6.08,78.6,18.84,0.2,1008.6,0.0
2022-10-11 19:00,5.88,79.0,18.63,0.19,1008.93,0.0
2022-10-11 20:00,5.61,79.0,17.47,0.16,1009.3,0.0
