czas,temperatura,wilgotność,wiatr,opady,ciśnienie,Tsun_min
2022-10-10 00:00,13.11,89.4,9.33,0.0,1015.44,0.0
2022-10-10 01:00,12.96,90.75,10.04,0.0,1015.34,0.0
2022-10-10 02:00,12.63,91.05,9.93,0.0,1015.24,0.0
2022-10-10 03:00,12.48,91.85,10.3,0.0,1015.23,0.0
2022-10-10 04:00,12.36,92.75,9.88,0.0,1015.34,0.0
2022-10-10 05:00,12.14,92.95,9.15,0.0,1015.6,0.0
2022-10-10 06:00,12.29,92.95,10.54,0.0,1015.85,0.0
2022-10-10 07:00,12.99,92.25,9.69,0.01,1016.39,8.22
2022-10-10 08:00,14.25,88.85,11.06,0.01,1017.0,14.33
2022-10-10 09:00,16.21,83.1,10.93,0.02,1017.4,19.44
2022-10-10 10:00,17.52,78.5,10.61,0.01,1017.67,21.78
2022-10-10 11:00,18.34,75.05,12.14,0.05,1017.95,25.0
2022-10-10 12:00,19.04,71.7,13.21,0.01,1018.04,24.89
2022-10-10 13:00,19.56,70.15,14.21,0.01,1017.96,23.78
2022-10-10 14:00,19.52,68.7,13.94,0.0,1018.04,20.56
2022-10-10 15:00,19.1,71.35,13.81,0.11,1018.44,18.22
2022-10-10 16:00,17.84,74.4,12.63,0.0,1018.8,16.56
2022-10-10 17:00,16.72,78.0,11.72,0.11,1019.42,11.44
2022-10-10 18:00,16.22,82.15,11.07,0.11,1020.3,5.67
2022-10-10 19:00,15.63,84.65,11.29,0.05,1020.84,0.0
2022-10-10 20:00,15.28,86.1,10.78,0.05,1021.34,0.0
2022-10-10 21:00,14.8,87.2,10.56,0.08,1021.91,0.0
2022-10-10 22:00,14.44,87.25,10.54,0.02,1022.32,0.0
2022-10-10 23:00,14.1,87.65,10.61,0.02,1022.55,0.0
2022-10-11 00:00,13.86,88.3,10.26,0.02,1022.51,0.0
2022-10-11 01:00,13.42,88.9,10.22,0.02,1022.66,0.0
2022-10-11 02:00,13.1,90.0,10.13,0.01,1022.6,0.0
2022-10-11 03:00,12.9,89.8,10.28,0.06,1022.43,0.0
2022-10-11 04:00,12.57,89.55,10.46,0.02,1022.51,0.0
2022-10-11 05:00,12.31,90.0,10.42,0.0,1022.84,0.0
2022-10-11 06:00,11.7,91.35,9.4,0.21,1023.07,0.0
2022-10-11 07:00,12.22,90.7,9.43,0.04,1023.54,10.78
2022-10-11 08:00,13.82,84.55,11.46,0.02,1023.81,19.89
2022-10-11 09:00,15.26,79.15,13.39,0.0,1023.94,27.44
2022-10-11 10:00,16.48,74.45,12.66,0.04,1023.87,29.44
2022-10-11 11:00,17.4,70.55,11.92,0.1,1023.74,28.89
2022-10-11 12:00,18.25,67.1,10.46,0.02,1023.34,32.22
2022-10-11 13:00,18.66,65.45,9.95,0.02,1022.93,32.44
2022-10-11 14:00,18.87,65.5,9.68,0.03,1022.47,33.22
2022-10-11 15:00,18.72,65.7,9.6,0.02,1022.35,30.56
2022-10-11 16:00,17.93,69.2,10.11,0.0,1022.24,25.44
2022-10-11 17:00,16.44,75.05,8.17,0.01,1022.36,18.33
2022-10-11 18:00,14.92,81.35,6.55,0.0,1022.65,7.89
2022-10-11 19:00,14.06,83.35,6.35,0.0,1022.9,0.0
2022-10-11 20:00,13.5,85.7,7.13,0.0,1023.08,0.0
2022-10-11 21:00,13.04,86.25,6.65,0.01,1023.3,0.0
2022-10-11 22:00,12.57,87.9,6.62,0.0,1023.25,0.0
2022-10-11 23:00,12.04,90.0,5.78,0.0,1023.11,0.0
2022-10-12 00:00,11.71,91.4,5.58,0.04,1023.01,0.0
2022-10-12 01:00,11.34,92.5,6.45,0.0,1023.06,0.0
2022-10-12 02:00,11.1,92.6,6.16,0.02,1022.78,0.0
2022-10-12 03:00,10.76,92.85,6.48,0.0,1022.5,0.0
2022-10-12 04:00,10.38,94.6,5.74,0.0,1022.46,0.0
2022-10-12 05:00,10.07,94.15,4.78,0.0,1022.56,0.0
2022-10-12 06:00,9.9,94.4,4.89,0.0,1022.71,0.0
2022-10-12 07:00,10.44,94.35,6.01,0.0,1023.04,8.56
2022-10-12 08:00,12.66,90.05,5.56,0.01,1023.3,17.44
2022-10-12 09:00,14.6,84.1,5.34,0.0,1023.33,23.0
2022-10-12 10:00,16.42,76.1,6.75,0.0,1023.19,29.78
2022-10-12 11:00,17.48,71.65,8.28,0.0,1023.02,29.44
2022-10-12 12:00,18.28,67.95,9.0,0.01,1022.71,32.67
2022-10-12 13:00,18.71,66.5,9.33,0.0,1022.21,32.78
2022-10-12 14:00,19.01,65.55,10.36,0.0,1021.92,32.89
2022-10-12 15:00,18.9,65.15,9.38,0.13,1021.69,27.22
2022-10-12 16:00,17.99,69.0,9.49,0.1,1021.6,26.89
2022-10-12 17:00,16.42,76.2,8.5,0.0,1021.72,16.33
2022-10-12 18:00,15.11,80.95,7.85,0.0,1022.05,6.11
2022-10-12 19:00,14.06,84.6,7.86,0.0,1022.3,0.0
2022-10-12 20:00,13.31,87.9,7.48,0.0,1022.42,0.0
2022-10-12 21:00,12.93,89.5,7.26,0.1,1022.6,0.0
2022-10-12 22:00,12.66,90.85,7.06,0.06,1022.52,0.0
2022-10-12 23:00,12.72,91.5,7.24,0.01,1022.39,0.0
2022-10-13 00:00,12.61,92.0,8.14,0.1,1022.15,0.0
2022-10-13 01:00,12.36,93.4,8.93,0.18,1021.94,0.0
2022-10-13 02:00,12.36,94.05,9.36,0.11,1021.58,0.0
2022-10-13 03:00,12.34,93.6,11.02,0.18,1021.2,0.0
2022-10-13 04:00,12.24,94.35,11.06,0.06,1020.95,0.0
2022-10-13 05:00,12.24,94.45,10.7,0.06,1020.75,0.0
2022-10-13 06:00,12.48,94.9,11.07,0.04,1020.52,0.0
2022-10-13 07:00,12.87,94.1,12.42,0.1,1020.54,2.11
2022-10-13 08:00,13.4,92.65,11.01,0.15,1020.49,3.89
2022-10-13 09:00,14.65,90.75,12.58,0.27,1020.32,6.11
2022-10-13 10:00,15.79,87.5,12.48,0.43,1020.02,3.44
2022-10-13 11:00,16.64,82.85,14.26,0.17,1019.79,4.78
2022-10-13 12:00,16.92,82.55,15.14,0.14,1019.3,5.78
2022-10-13 13:00,16.97,82.15,15.66,0.35,1019.04,3.89
2022-10-13 14:00,16.99,81.95,15.62,0.22,1018.71,4.11
2022-10-13 15:00,16.84,83.75,14.97,0.14,1018.42,5.33
2022-10-13 16:00,16.36,86.3,14.43,0.13,1018.38,6.56
2022-10-13 17:00,15.76,89.9,12.86,0.05,1018.42,3.44
2022-10-13 18:00,15.34,92.0,12.82,0.02,1018.7,1.22
2022-10-13 19:00,15.21,92.3,14.21,0.12,1018.72,0.0
2022-10-13 20:00,15.04,92.95,12.61,0.3,1018.74,0.0
2022-10-13 21:00,14.87,93.5,12.36,0.15,1018.8,0.0
2022-10-13 22:00,14.69,93.3,12.57,0.06,1018.65,0.0
2022-10-13 23:00,14.66,94.3,12.84,0.1,1018.47,0.0
2022-10-14 00:00,14.65,94.2,11.83,0.14,1018.18,0.0
2022-10-14 01:00,14.75,94.45,12.18,0.06,1017.82,0.0
2022-10-14 02:00,14.81,96.0,14.0,0.1,1017.34,0.0
2022-10-14 03:00,14.87,96.0,12.55,0.25,1016.82,0.0
2022-10-14 04:00,15.0,95.55,13.12,0.23,1016.52,0.0
2022-10-14 05:00,15.1,95.7,13.32,0.23,1016.15,0.0
2022-10-14 06:00,15.08,96.45,16.72,0.26,1015.91,0.0
2022-10-14 07:00,15.18,95.65,16.68,0.17,1015.98,0.11
2022-10-14 08:00,15.14,93.85,16.39,0.24,1016.32,0.67
2022-10-14 09:00,16.08,92.55,18.56,0.12,1016.45,1.33
2022-10-14 10:00,16.57,89.95,19.24,0.33,1016.43,1.22
2022-10-14 11:00,16.86,89.3,18.74,0.17,1016.07,1.89
2022-10-14 12:00,17.08,87.3,18.76,0.2,1015.62,2.22
2022-10-14 13:00,17.47,85.45,17.66,0.17,1015.18,2.0
2022-10-14 14:00,17.58,84.6,17.74,0.21,1014.66,2.56
2022-10-14 15:00,17.66,83.4,16.56,0.22,1014.3,2.33
2022-10-14 16:00,17.35,85.35,16.04,0.33,1013.9,3.11
2022-10-14 17:00,16.84,87.85,14.8,0.36,1013.69,2.0
2022-10-14 18:00,16.36,90.25,16.52,0.4,1013.79,1.22
2022-10-14 19:00,16.2,91.25,17.43,0.57,1013.66,0.0
2022-10-14 20:00,15.84,92.35,16.6,0.53,1013.48,0.0
2022-10-14 21:00,15.68,92.45,16.84,0.66,1013.51,0.0
2022-10-14 22:00,15.57,93.05,15.95,0.21,1013.38,0.0
2022-10-14 23:00,15.22,94.35,15.82,0.18,1013.2,0.0
2022-10-15 00:00,14.96,94.8,16.32,0.14,1012.99,0.0
2022-10-15 01:00,14.92,94.6,15.36,0.14,1012.75,0.0
2022-10-15 02:00,14.64,94.55,15.96,0.18,1012.3,0.0
2022-10-15 03:00,14.43,94.8,17.35,0.34,1011.75,0.0
2022-10-15 04:00,14.36,94.7,16.59,0.05,1011.56,0.0
2022-10-15 05:00,14.32,94.6,17.51,0.14,1011.53,0.0
2022-10-15 06:00,14.36,94.9,16.32,0.44,1011.59,0.0
2022-10-15 07:00,14.8,94.2,16.22,0.33,1011.75,4.22
2022-10-15 08:00,15.48,91.0,17.01,0.25,1011.92,9.78
2022-10-15 09:00,16.97,85.35,16.57,0.13,1012.08,12.44
2022-10-15 10:00,17.88,80.7,17.25,0.24,1012.22,12.67
2022-10-15 11:00,18.74,76.15,16.61,0.17,1012.28,14.0
2022-10-15 12:00,19.23,73.5,16.95,0.04,1011.95,16.78
2022-10-15 13:00,19.76,71.3,16.79,0.12,1011.46,19.56
2022-10-15 14:00,19.87,69.8,17.44,0.08,1011.1,19.11
2022-10-15 15:00,19.35,71.55,15.64,0.06,1011.08,17.78
2022-10-15 16:00,18.68,74.3,12.96,0.03,1011.16,18.78
2022-10-15 17:00,17.52,78.85,13.07,0.02,1011.48,9.44
2022-10-15 18:00,16.76,83.0,11.64,0.13,1012.16,3.56
2022-10-15 19:00,16.02,86.95,11.82,0.19,1012.46,0.0
2022-10-15 20:00,15.84,87.5,12.09,0.2,1012.6,0.0
2022-10-15 21:00,15.6,87.85,13.18,0.04,1012.98,0.0
2022-10-15 22:00,15.56,87.2,11.72,0.08,1013.25,0.0
2022-10-15 23:00,15.38,88.9,11.79,0.09,1013.46,0.0
2022-10-16 00:00,15.17,88.85,12.1,0.16,1013.42,0.0
2022-10-16 01:00,15.14,89.2,10.98,0.12,1013.52,0.0
2022-10-16 02:00,14.81,90.35,11.0,0.08,1013.62,0.0
2022-10-16 03:00,14.74,91.1,10.3,0.06,1013.5,0.0
2022-10-16 04:00,14.59,91.35,9.62,0.13,1013.56,0.0
2022-10-16 05:00,14.66,91.55,10.13,0.08,1013.92,0.0
2022-10-16 06:00,14.61,92.05,11.26,0.1,1014.2,0.0
2022-10-16 07:00,14.92,91.75,10.5,0.02,1014.66,6.0
2022-10-16 08:00,16.04,88.8,11.04,0.02,1015.09,12.67
2022-10-16 09:00,17.64,84.15,14.28,0.18,1015.2,15.22
2022-10-16 10:00,18.72,79.45,15.86,0.02,1015.27,24.67
2022-10-16 11:00,19.76,76.65,18.77,0.0,1015.01,23.0
2022-10-16 12:00,20.51,74.2,18.93,0.38,1014.68,21.89
2022-10-16 13:00,20.94,72.1,19.8,0.13,1014.28,21.11
2022-10-16 14:00,21.26,71.65,20.0,0.22,1014.1,22.0
2022-10-16 15:00,21.2,71.75,22.04,0.12,1014.16,22.33
2022-10-16 16:00,20.49,74.35,18.11,0.02,1014.26,23.89
2022-10-16 17:00,19.14,80.0,17.82,0.01,1014.71,14.33
2022-10-16 18:00,18.34,82.55,17.55,0.07,1015.4,4.56
2022-10-16 19:00,18.14,82.85,17.91,0.0,1015.7,0.0
2022-10-16 20:00,17.88,84.05,17.4,0.0,1015.88,0.0
2022-10-16 21:00,17.74,83.8,16.68,0.06,1016.32,0.0
2022-10-16 22:00,17.46,84.95,16.59,0.02,1016.74,0.0
2022-10-16 23:00,17.37,85.0,15.92,0.04,1016.98,0.0
2022-10-17 00:00,17.22,84.6,16.71,0.11,1017.25,0.0
2022-10-17 01:00,17.26,84.65,16.9,0.19,1017.54,0.0
2022-10-17 02:00,17.08,84.25,17.22,0.19,1017.56,0.0
2022-10-17 03:00,16.98,83.85,16.9,0.43,1017.64,0.0
2022-10-17 04:00,16.63,85.7,14.6,0.09,1018.34,0.0
2022-10-17 05:00,16.54,86.2,14.82,0.18,1018.96,0.0
2022-10-17 06:00,16.1,87.5,13.34,0.11,1019.62,0.0
2022-10-17 07:00,16.44,87.85,14.03,0.07,1020.35,6.78
2022-10-17 08:00,17.19,83.95,12.24,0.04,1021.27,12.33
2022-10-17 09:00,18.64,80.7,14.16,0.05,1021.6,15.89
2022-10-17 10:00,19.66,77.85,14.56,0.07,1022.1,18.67
2022-10-17 11:00,20.21,76.15,15.64,0.11,1022.56,20.78
2022-10-17 12:00,20.5,75.2,15.5,0.06,1022.7,17.67
2022-10-17 13:00,20.53,75.7,15.48,0.07,1022.54,15.56
2022-10-17 14:00,20.58,75.35,15.08,0.06,1022.68,16.56
2022-10-17 15:00,20.24,77.0,13.93,0.13,1022.78,13.44
2022-10-17 16:00,19.6,79.8,11.93,0.07,1023.09,13.67
2022-10-17 17:00,18.68,83.25,10.88,0.31,1023.4,7.22
2022-10-17 18:00,18.04,86.1,10.1,0.2,1023.91,2.22
2022-10-17 19:00,17.46,88.65,10.84,0.3,1024.26,0.0
2022-10-17 20:00,17.23,89.5,10.43,0.2,1024.42,0.0
2022-10-17 21:00,17.02,89.85,9.1,0.02,1024.75,0.0
2022-10-17 22:00,16.6,90.6,9.8,0.11,1025.01,0.0
2022-10-17 23:00,16.19,91.8,8.74,0.18,1025.18,0.0
2022-10-18 00:00,15.94,93.1,8.25,0.27,1025.12,0.0
2022-10-18 01:00,15.84,93.45,7.34,0.05,1025.14,0.0
2022-10-18 02:00,15.57,94.1,9.49,0.01,1025.08,0.0
2022-10-18 03:00,15.28,93.9,8.41,0.0,1025.08,0.0
2022-10-18 04:00,15.1,93.45,9.74,0.15,1025.27,0.0
2022-10-18 05:00,15.1,94.05,9.68,0.01,1025.38,0.0
2022-10-18 06:00,14.76,94.95,10.54,0.0,1025.35,0.0
2022-10-18 07:00,15.34,94.4,10.2,0.0,1025.54,9.0
2022-10-18 08:00,16.64,90.45,11.8,0.0,1025.82,16.67
2022-10-18 09:00,18.1,84.65,13.42,0.0,1025.84,23.44
2022-10-18 10:00,19.18,81.25,12.68,0.0,1025.7,29.89
2022-10-18 11:00,20.14,77.0,12.64,0.0,1025.46,31.89
2022-10-18 12:00,21.05,73.5,13.18,0.0,1024.8,34.89
2022-10-18 13:00,21.38,71.8,14.54,0.0,1024.14,35.22
2022-10-18 14:00,21.6,71.45,14.32,0.0,1023.64,37.0
2022-10-18 15:00,21.52,71.25,14.8,0.0,1023.38,30.78
2022-10-18 16:00,20.9,73.8,14.62,0.01,1023.16,30.44
2022-10-18 17:00,19.42,79.35,13.43,0.0,1023.15,17.22
2022-10-18 18:00,18.4,83.25,14.12,0.0,1023.48,4.67
2022-10-18 19:00,17.68,86.7,13.5,0.0,1023.56,0.0
2022-10-18 20:00,17.21,88.3,13.56,0.0,1023.42,0.0
2022-10-18 21:00,16.62,89.85,12.21,0.0,1023.22,0.0
2022-10-18 22:00,16.04,90.8,10.4,0.0,1023.08,0.0
2022-10-18 23:00,15.7,92.2,11.4,0.0,1022.65,0.0
2022-10-19 00:00,15.26,93.0,10.64,0.0,1022.28,0.0
2022-10-19 01:00,15.04,93.4,10.94,0.02,1021.88,0.0
2022-10-19 02:00,14.88,93.35,11.93,0.01,1021.35,0.0
2022-10-19 03:00,14.96,93.25,11.96,0.0,1020.58,0.0
2022-10-19 04:00,14.98,92.15,12.16,0.01,1020.14,0.0
2022-10-19 05:00,14.81,92.75,12.8,0.01,1019.7,0.0
2022-10-19 06:00,14.66,92.65,14.04,0.0,1019.34,0.0
2022-10-19 07:00,15.14,91.25,15.64,0.02,1019.04,12.22
2022-10-19 08:00,15.88,88.2,16.62,0.0,1018.82,25.89
2022-10-19 09:00,17.42,82.6,18.51,0.0,1018.46,34.33
2022-10-19 10:00,18.78,77.8,18.99,0.0,1018.02,40.56
2022-10-19 11:00,20.13,73.6,21.08,0.01,1017.42,42.89
2022-10-19 12:00,21.21,70.6,20.36,0.0,1016.7,43.11
2022-10-19 13:00,21.24,70.5,20.79,0.0,1016.06,43.56
2022-10-19 14:00,21.23,70.95,19.4,0.0,1015.36,41.67
2022-10-19 15:00,20.84,72.35,18.3,0.0,1015.13,34.22
2022-10-19 16:00,20.16,74.15,17.85,0.0,1014.95,25.0
2022-10-19 17:00,18.97,78.25,15.5,0.0,1014.92,15.0
2022-10-19 18:00,18.3,80.35,15.16,0.02,1015.29,4.0
2022-10-19 19:00,17.82,81.95,14.5,0.12,1015.29,0.0
2022-10-19 20:00,17.34,83.85,15.0,0.02,1015.07,0.0
2022-10-19 21:00,16.68,86.85,13.45,0.06,1015.06,0.0
2022-10-19 22:00,16.57,87.15,14.64,0.07,1014.86,0.0
2022-10-19 23:00,16.21,88.8,12.98,0.06,1014.56,0.0
2022-10-20 00:00,15.89,89.6,12.96,0.11,1014.42,0.0
2022-10-20 01:00,16.02,90.0,14.04,0.1,1014.34,0.0
2022-10-20 02:00,15.77,91.3,15.36,0.32,1013.85,0.0
2022-10-20 03:00,15.85,91.5,14.07,0.26,1013.26,0.0
2022-10-20 04:00,15.61,92.1,13.62,0.57,1013.19,0.0
2022-10-20 05:00,15.5,92.45,14.75,0.27,1012.88,0.0
2022-10-20 06:00,15.57,91.1,15.24,0.2,1012.5,0.0
2022-10-20 07:00,15.64,91.35,14.13,0.06,1012.66,4.56
2022-10-20 08:00,16.32,88.7,15.84,0.11,1012.66,13.44
2022-10-20 09:00,17.34,85.2,18.19,0.16,1012.56,19.0
2022-10-20 10:00,18.26,82.65,19.88,0.0,1012.27,25.56
2022-10-20 11:00,19.34,78.0,22.46,0.0,1011.9,29.67
2022-10-20 12:00,20.2,75.35,21.54,0.0,1011.25,30.78
2022-10-20 13:00,20.48,73.7,23.16,0.03,1010.52,29.89
2022-10-20 14:00,20.42,73.65,21.76,0.04,1010.19,28.33
