czas,temperatura,wilgotność,wiatr,opady,ciśnienie,zachmurzenie
2022-01-01 00:00:00,8.38,94.7,19.84,0.11,1012.42,100.0
2022-01-01 01:00:00,8.43,95.05,18.87,0.07,1012.96,100.0
2022-01-01 02:00:00,8.32,95.4,18.6,0.03,1013.45,100.0
2022-01-01 03:00:00,8.25,95.05,18.6,0.04,1014.0,100.0
2022-01-01 04:00:00,8.18,95.35,18.68,0.16,1014.46,100.0
2022-01-01 05:00:00,8.19,94.55,19.17,0.13,1014.98,100.0
2022-01-01 06:00:00,8.09,93.9,20.02,0.14,1015.5,100.0
2022-01-01 07:00:00,7.99,93.65,17.89,0.07,1016.27,100.0
2022-01-01 08:00:00,7.95,93.8,17.82,0.07,1017.0,100.0
2022-01-01 09:00:00,8.12,92.7,17.84,0.03,1017.68,100.0
2022-01-01 10:00:00,8.16,92.7,18.4,0.04,1018.3,100.0
2022-01-01 11:00:00,8.24,90.8,18.1,0.11,1018.84,100.0
2022-01-01 12:00:00,8.12,89.7,18.2,0.03,1019.33,100.0
2022-01-01 13:00:00,7.93,88.45,17.78,0.0,1019.96,100.0
2022-01-01 14:00:00,7.58,88.9,16.02,0.03,1020.8,100.0
2022-01-01 15:00:00,7.14,89.05,13.68,0.01,1021.64,100.0
2022-01-01 16:00:00,6.82,89.05,11.6,0.0,1022.38,100.0
2022-01-01 17:00:00,6.44,89.4,9.32,0.0,1022.75,100.0
2022-01-01 18:00:00,6.06,89.6,9.29,0.0,1023.26,100.0
2022-01-01 19:00:00,5.96,89.5,7.51,0.0,1023.68,100.0
2022-01-01 20:00:00,5.82,89.8,8.68,0.01,1024.04,100.0
2022-01-01 21:00:00,5.6,90.4,7.87,0.0,1024.05,100.0
2022-01-01 22:00:00,5.48,91.1,8.15,0.01,1023.9,100.0
2022-01-01 23:00:00,5.34,92.45,9.47,0.01,1023.52,100.0
2022-01-02 00:00:00,5.22,92.6,10.55,0.1,1022.94,100.0
2022-01-02 01:00:00,5.14,92.9,11.5,0.06,1022.36,100.0
2022-01-02 02:00:00,5.13,94.1,11.27,0.04,1021.48,100.0
2022-01-02 03:00:00,5.39,93.4,11.92,0.0,1020.54,100.0
2022-01-02 04:00:00,5.44,94.85,11.99,0.01,1019.44,100.0
2022-01-02 05:00:00,5.61,95.3,12.74,0.07,1018.53,100.0
2022-01-02 06:00:00,5.74,95.25,14.87,0.26,1017.54,100.0
2022-01-02 07:00:00,5.88,95.6,14.08,0.2,1016.64,100.0
2022-01-02 08:00:00,6.14,95.5,15.32,0.47,1015.78,100.0
2022-01-02 09:00:00,6.7,94.55,15.12,0.64,1014.91,100.0
2022-01-02 10:00:00,7.48,93.6,16.73,0.39,1013.91,100.0
2022-01-02 11:00:00,8.12,91.15,15.76,0.17,1012.7,100.0
2022-01-02 12:00:00,8.59,89.05,17.3,0.23,1011.65,100.0
2022-01-02 13:00:00,8.86,88.45,16.22,0.24,1010.71,100.0
2022-01-02 14:00:00,8.86,88.65,16.08,0.83,1010.0,100.0
2022-01-02 15:00:00,8.73,89.25,17.16,0.56,1009.09,100.0
2022-01-02 16:00:00,8.79,89.5,16.18,0.39,1008.21,100.0
2022-01-02 17:00:00,8.86,89.75,18.47,0.5,1007.32,100.0
2022-01-02 18:00:00,8.98,88.65,18.93,0.64,1006.54,100.0
2022-01-02 19:00:00,8.78,88.7,19.01,0.96,1005.76,100.0
2022-01-02 20:00:00,9.0,85.65,23.35,0.69,1005.1,1.0
2022-01-02 21:00:00,8.72,85.75,24.16,0.8,1004.56,18.0
2022-01-02 22:00:00,8.76,83.0,25.9,0.33,1004.4,65.0
