Cecha,Sila_Wplywu,Kierunek_Wplywu
Fossil Hard coal,0.32595064246547867,-0.32595064246547867
Solar,0.2098866493173696,-0.1917539781679738
OZE_Share_lag_1h,0.18687061461105156,-0.18329656980829567
Fossil Brown coal/Lignite,0.17563420553165007,-0.17563420553165007
temperatura,0.10921725506354524,0.10561256757614082
OZE_Share_lag_2h,0.1052882505015841,-0.09102217264935697
Fossil Gas,0.09285557474912826,-0.09285557474912826
OZE_Share,0.09283482673539928,0.048725543257320855
OZE_Share_lag_4h,0.08739887834219655,-0.07197893359371937
OZE_Share_lag_3h,0.08641905903341815,-0.07015639753135379
Solar_lag_24h,0.08053862908793331,-0.04603448715757267
hour_cos_lag_24h,0.0800387599576983,-0.07640127839882807
OZE_Share_lag_5h,0.0799668380892911,-0.06340521688343044
wiatr,0.07868141757106181,0.06519035431603643
OZE_Share_lag_6h,0.07675741341365935,-0.06035851468736532
temperatura_lag_24h,0.07471934525765438,-0.06150856179181836
wilgotność_lag_24h,0.07288627947459608,-0.06716232893035326
OZE_Share_lag_7h,0.07085103490670926,-0.05297826678229772
OZE_Share_lag_24h,0.0706805106085403,0.06884530781413167
OZE_Share_lag_8h,0.06671631633118959,-0.04665540927414248
Fossil Hard coal_lag_3h,0.06477390302511037,-0.061404622568291586
hour_cos,0.06261209855675773,-0.004433684469614167
OZE_Share_lag_22h,0.06140472905582498,-0.04774782391526796
Solar_lag_1h,0.06121385682331559,0.027193507552946902
OZE_Share_lag_23h,0.059878148092589685,-0.04646873787166114
Fossil Hard coal_lag_2h,0.05986255745764873,-0.055952641175222105
OZE_Share_lag_9h,0.059792191218760254,-0.03386793284285082
OZE_Share_lag_11h,0.059788120091919916,-0.03195663114642224
hour_cos_lag_23h,0.059463863931360286,-0.057778231733383784
OZE_Share_lag_10h,0.05924809782309364,-0.032826269872526556
wilgotność,0.058152313094383276,0.012828032817217562
OZE_Share_lag_12h,0.05789748140105019,-0.029703590005783004
Fossil Hard coal_lag_5h,0.05645989028537449,-0.052484497165262975
Solar_lag_2h,0.05623573968405246,0.056018106512356475
temperatura_lag_1h,0.0559602314237333,0.02246017617071019
Fossil Hard coal_lag_4h,0.05591109282480186,-0.05199959203755853
OZE_Share_lag_21h,0.053807836238480046,-0.031633061720829525
OZE_Share_lag_20h,0.051978377204589275,-0.021546781412746793
Fossil Brown coal/Lignite_lag_2h,0.051324163700970156,-0.04577882518583589
OZE_Share_lag_13h,0.050130670333113664,-0.019878069885294565
Fossil Hard coal_lag_7h,0.04998256786222752,-0.04576092210131207
temperatura_lag_4h,0.04963421087365283,-0.04132987063128617
Fossil Hard coal_lag_6h,0.049124529414265435,-0.044814486644202484
Fossil Brown coal/Lignite_lag_3h,0.04890190826099608,-0.04354076435400087
Fossil Hard coal_lag_24h,0.04870153545018603,0.037133396581967404
wiatr_lag_2h,0.048484616223683524,-0.04591772061423923
hour_cos_lag_1h,0.0476545555867769,-0.008382219955664794
OZE_Share_lag_19h,0.047544651915587044,-0.002170097811261555
hour_cos_lag_22h,0.04650407498540662,-0.045142466524862056
OZE_Share_lag_17h,0.0459941003058406,0.008550390733677254
hour_cos_lag_11h,0.04565924284962362,-0.0376441736888415
OZE_Share_lag_18h,0.04558061381458522,0.003895016775419499
hour_cos_lag_10h,0.04542481516161591,-0.03772854389326091
OZE_Share_lag_16h,0.04520378981451402,0.003281044857005006
hour_cos_lag_12h,0.04520165652100124,-0.038061709740256085
OZE_Share_lag_14h,0.04514700940897195,-0.006573889848656751
OZE_Share_lag_15h,0.04460515711145336,0.002078567215914218
temperatura_lag_5h,0.04437342195671367,-0.02725213859139873
hour_cos_lag_9h,0.04432615839960566,-0.03744221450148812
wiatr_lag_1h,0.044024978144491585,-0.04330500549580969
hour_cos_lag_13h,0.04387562922926741,-0.03832673484296337
Fossil Hard coal_lag_8h,0.04347718843675799,-0.03840382809896801
temperatura_lag_3h,0.043265626580784665,-0.018030111988303073
temperatura_lag_6h,0.04267144000439346,-0.001849306517086186
hour_cos_lag_8h,0.042396226728665214,-0.03659182298872725
hour_cos_lag_14h,0.042388889697678976,-0.038025008667095433
temperatura_lag_2h,0.042240289612457745,0.013936817679993647
wiatr_lag_24h,0.04211222800322605,0.03239353539728483
Fossil Hard coal_lag_9h,0.041422742665019205,-0.03558842278212997
hour_cos_lag_15h,0.041043816470804545,-0.03307736485304427
hour_cos_lag_7h,0.040752687165933325,-0.036798558417698864
hour_cos_lag_6h,0.040745795904059995,-0.03840115681212288
Fossil Brown coal/Lignite_lag_5h,0.03930684630554235,-0.03323689432431189
hour_cos_lag_16h,0.03930590344432158,-0.029043822981436637
hour_cos_lag_21h,0.03876389373975905,-0.03549365594978997
Fossil Brown coal/Lignite_lag_4h,0.038471598755785756,-0.03242660125388322
Fossil Brown coal/Lignite_lag_7h,0.03799395907710393,-0.03213407932726395
hour_cos_lag_2h,0.03787733113734033,-0.014323061910794225
hour_cos_lag_5h,0.03785395748986376,-0.03535060803417486
hour_cos_lag_17h,0.037751651522820444,-0.02874994219380083
temperatura_lag_7h,0.03754684801069506,-0.0001785198934485684
Fossil Brown coal/Lignite_lag_6h,0.03747300396919404,-0.0308653400799156
Solar_lag_23h,0.03709077471145891,-0.00010363055762527847
Fossil Brown coal/Lignite_lag_24h,0.036826411553173254,0.014883024866530441
temperatura_lag_13h,0.03663684177416471,-0.01630698920529891
hour_cos_lag_18h,0.035683376163092466,-0.026923002422402767
hour_cos_lag_20h,0.03540500889926268,-0.030913471800189583
temperatura_lag_8h,0.03477104300415943,0.00041724473619663273
Fossil Hard coal_lag_21h,0.034727883949348906,-0.027949837202641173
temperatura_lag_10h,0.03472218336262276,0.004913774245631838
hour_cos_lag_19h,0.0347040992666436,-0.028823214034873017
temperatura_lag_12h,0.03468339181623005,-0.01171870388763141
temperatura_lag_9h,0.03445462850040908,0.0006951423301816907
temperatura_lag_18h,0.03436435487904281,0.022520752828462845
Fossil Brown coal/Lignite_lag_8h,0.03435025689135707,-0.027630000900759892
Fossil Hard coal_lag_10h,0.03432276227043394,-0.024276952377398173
temperatura_lag_19h,0.034128385874890935,0.02248513105645829
temperatura_lag_23h,0.034000567108290705,-0.025548293649322693
temperatura_lag_14h,0.03397883168022126,-0.009957327242239963
hour_cos_lag_4h,0.03390184940766755,-0.02839667294009922
hour_cos_lag_3h,0.03386504188146368,-0.020744950662832485
temperatura_lag_20h,0.033757386970701096,0.02135289426010878
Fossil Hard coal_lag_11h,0.03369146448088599,-0.024360334620382673
Fossil Hard coal_lag_1h,0.033375141192482916,-0.008467912216523628
Fossil Hard coal_lag_22h,0.03331146977352055,-0.02715374887055809
temperatura_lag_17h,0.03301711931033144,0.020268182074656013
temperatura_lag_21h,0.032988215055718126,0.02228784485739216
temperatura_lag_11h,0.03273881876532494,-0.005188504107404039
Fossil Gas_lag_2h,0.03230475806329296,-0.030901263045377183
temperatura_lag_15h,0.031063235224804683,0.0002339854996727665
temperatura_lag_16h,0.031035854390502642,0.01027044057300628
Fossil Hard coal_lag_12h,0.030703297156066567,-0.01970889446216832
Fossil Gas_lag_24h,0.029953673436708572,0.02585386996363003
